oaColorName;publicationId;year;publisherId;publisherName;journalId;journalTitle
Grün;pub.1002176580;2016;pblshr.1000078;Elsevier;jour.1023506;Applied Soil Ecology
Closed;pub.1002190061;2017;pblshr.1000078;Elsevier;jour.1097961;Schizophrenia Research
Closed;pub.1002198962;2017;pblshr.1000311;Wiley;jour.1036802;Strategic Management Journal
Closed;pub.1002218462;2017;pblshr.1000311;Wiley;jour.1030961;Agricultural and Forest Entomology
Bronze;pub.1002219348;2016;pblshr.1000081;European Respiratory Society (ERS);jour.1097884;European Respiratory Journal
Closed;pub.1002228132;2016;pblshr.1000297;Springer Nature;jour.1135931;European Journal of Wood and Wood Products
Closed;pub.1002231874;2015;pblshr.1000311;Wiley;jour.1138555;Philosophical Investigations
Closed;pub.1002239570;2017;pblshr.1000078;Elsevier;jour.1013552;Soil Biology and Biochemistry
Closed;pub.1002257592;2015;pblshr.1000140;Emerald;jour.1149595;Journal of Global Mobility The Home of Expatriate Management Research
Closed;pub.1002261681;2015;pblshr.1000078;Elsevier;jour.1047359;Computers & Operations Research
Gold;pub.1002264529;2016;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Closed;pub.1002281330;2016;pblshr.1000078;Elsevier;jour.1044002;Journal of Cleaner Production
Closed;pub.1002292195;2016;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Closed;pub.1002308463;2016;pblshr.1000297;Springer Nature;jour.1099265;Der Schmerz
Gold;pub.1002322300;2015;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Gold;pub.1002330535;2016;pblshr.1000078;Elsevier;jour.1094748;Physics Letters B
Grün;pub.1002351531;2015;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Closed;pub.1002360086;2015;pblshr.1000311;Wiley;jour.1095788;Letters in Applied Microbiology
Closed;pub.1002382066;2015;pblshr.1000316;American Chemical Society (ACS);jour.1081898;Journal of the American Chemical Society
Closed;pub.1002385836;2017;pblshr.1000297;Springer Nature;jour.1116831;Clinical Oral Investigations
Closed;pub.1002449949;2017;pblshr.1000297;Springer Nature;jour.1004761;European Archives of Oto-Rhino-Laryngology
Closed;pub.1002458248;2016;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Gold;pub.1002466460;2015;pblshr.1000078;Elsevier;jour.1044218;Physics Procedia
Closed;pub.1002492065;2016;pblshr.1000297;Springer Nature;jour.1327447;Statistics and Computing
Gold;pub.1002498850;2015;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Closed;pub.1002499396;2016;pblshr.1000276;Wolters Kluwer;jour.1094093;Journal of Hypertension
Closed;pub.1002500703;2016;pblshr.1000078;Elsevier;jour.1038686;Applied Surface Science
Closed;pub.1002532499;2015;pblshr.1000078;Elsevier;jour.1128045;Expert Systems with Applications
Closed;pub.1002572364;2016;pblshr.1000078;Elsevier;jour.1027494;European Economic Review
Gold;pub.1002599744;2016;pblshr.1000098;Hindawi;jour.1327794;Advances in Materials Science and Engineering
Closed;pub.1002609322;2016;pblshr.1000374;De Gruyter;jour.1152671;Journal of South Asian Languages and Linguistics
Closed;pub.1002610297;2015;pblshr.1000311;Wiley;jour.1138598;History Compass
Closed;pub.1002619088;2017;pblshr.1000078;Elsevier;jour.1026101;Agricultural Systems
Grün;pub.1002648994;2015;pblshr.1000078;Elsevier;jour.1091979;Neurobiology of Aging
Closed;pub.1002671160;2016;pblshr.1000078;Elsevier;jour.1019908;Theriogenology
Gold;pub.1002682161;2016;pblshr.1000286;Oxford University Press (OUP);jour.1018982;Nucleic Acids Research
Gold;pub.1002694743;2015;pblshr.1000297;Springer Nature;jour.1049394;The European Physical Journal C
Closed;pub.1002702212;2017;pblshr.1000078;Elsevier;jour.1035876;Geoderma
Closed;pub.1002706008;2016;pblshr.1000078;Elsevier;jour.1135259;Polymer
Closed;pub.1002708613;2015;pblshr.1000078;Elsevier;jour.1038546;Quaternary International
Hybrid;pub.1002709181;2016;pblshr.1000078;Elsevier;jour.1312241;Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment
Grün;pub.1002709229;2015;pblshr.1000175;The Royal Society;jour.1032123;Philosophical Transactions of the Royal Society B Biological Sciences
Closed;pub.1002713462;2017;pblshr.1000078;Elsevier;jour.1032186;Ecological Indicators
Gold;pub.1002723365;2016;pblshr.1000078;Elsevier;jour.1094748;Physics Letters B
Gold;pub.1002736236;2017;pblshr.1000237;The Company of Biologists;jour.1040518;Disease Models & Mechanisms
Closed;pub.1002748151;2016;pblshr.1000078;Elsevier;jour.1015500;Social Science Research
Grün;pub.1002771098;2015;pblshr.1000311;Wiley;jour.1032700;Ecography
Closed;pub.1002773271;2015;pblshr.1000311;Wiley;jour.1091260;Journal of Organizational Behavior
Gold;pub.1002778691;2016;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Gold;pub.1002789670;2015;pblshr.1000297;Springer Nature;jour.1045337;Scientific Reports
Closed;pub.1002823413;2016;pblshr.1000297;Springer Nature;jour.1275087;Zeitschrift für Literaturwissenschaft und Linguistik
Closed;pub.1002850821;2016;pblshr.1007437;IOS Press;jour.1092621;Clinical Hemorheology and Microcirculation
Closed;pub.1002852162;2015;pblshr.1000297;Springer Nature;jour.1092777;Breast Cancer Research and Treatment
Closed;pub.1002859076;2015;pblshr.1000266;IOP Publishing;jour.1054347;Journal of Physics D
Closed;pub.1002936549;2015;pblshr.1000297;Springer Nature;jour.1018928;Der Gynäkologe
Gold;pub.1002939509;2015;pblshr.1000297;Springer Nature;jour.1136002;Geothermal Energy
Closed;pub.1002950354;2015;pblshr.1000078;Elsevier;jour.1039813;Acta Materialia
Closed;pub.1002958141;2016;pblshr.1000078;Elsevier;jour.1098685;Journal of Clinical Anesthesia
Closed;pub.1002972267;2017;pblshr.1000311;Wiley;jour.1017044;Angewandte Chemie International Edition
Hybrid;pub.1002980111;2016;pblshr.1000078;Elsevier;jour.1103053;NeuroImage
Grün;pub.1003000714;2016;pblshr.1000311;Wiley;jour.1017044;Angewandte Chemie International Edition
Gold;pub.1003005183;2016;pblshr.1000297;Springer Nature;jour.1045337;Scientific Reports
Closed;pub.1003015534;2015;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Grün;pub.1003039777;2015;pblshr.1000317;AIP Publishing;jour.1133657;Journal of Mathematical Physics
Closed;pub.1003043960;2016;pblshr.1000311;Wiley;jour.1101555;International Journal of Methods in Psychiatric Research
Closed;pub.1003049197;2016;pblshr.1000078;Elsevier;jour.1036173;Journal of Veterinary Behavior
Closed;pub.1003050916;2016;pblshr.1000311;Wiley;jour.1017044;Angewandte Chemie International Edition
Grün;pub.1003071304;2017;pblshr.1000078;Elsevier;jour.1027537;Technological Forecasting and Social Change
Grün;pub.1003083395;2015;pblshr.1000317;AIP Publishing;jour.1017736;The Journal of Chemical Physics
Grün;pub.1003084362;2017;pblshr.1000127;Karger Publishers;jour.1044813;Cardiorenal Medicine
Closed;pub.1003103720;2016;pblshr.1000078;Elsevier;jour.1119830;Inorganica Chimica Acta
Grün;pub.1003120163;2017;pblshr.1000297;Springer Nature;jour.1295005;Cellular and Molecular Life Sciences
Gold;pub.1003127360;2015;pblshr.1000297;Springer Nature;jour.1036453;Journal of Cardiothoracic Surgery
Closed;pub.1003135810;2015;pblshr.1000078;Elsevier;jour.1096940;The Journal of Arthroplasty
Bronze;pub.1003151100;2016;pblshr.1000078;Elsevier;jour.1320100;Biochimica et Biophysica Acta (BBA) - Bioenergetics
